Level	Rule Name	Subject	Property	Value
ERROR	missing_label	CHEBI:17089	rdfs:label		
ERROR	missing_ontology_description	mgpo.owl	dc11:description		
ERROR	duplicate_label	CHEBItemp:0002188	rdfs:label	lipid-linked glycan chain@en	
ERROR	duplicate_label	MGPO:0002140	rdfs:label	lipid-linked glycan chain@en	
ERROR	duplicate_label	MGPO:0002035	rdfs:label	abnormal glycosyltransferase activity@en	
ERROR	duplicate_label	MGPO:0002223	rdfs:label	abnormal glycosyltransferase activity@en	
ERROR	duplicate_label	MGPO:0002006	rdfs:label	abnormal glycan binding@en	
ERROR	duplicate_label	MGPO:0002192	rdfs:label	abnormal glycan binding@en	
ERROR	missing_ontology_license	mgpo.owl	dc:license		
ERROR	missing_ontology_title	mgpo.owl	dc11:title		
WARN	annotation_whitespace	MGPO:0002010	IAO:0000115	A change in the structure of a glycan chain due to altered branching patterns. 	
WARN	annotation_whitespace	MGPO:0002042	IAO:0000115	A change in the strucutre of a glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002068	IAO:0000115	A change in the strucutre of a free glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002069	IAO:0000115	A change in the strucutre of a conjugated glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002070	IAO:0000115	A change in the strucutre of a glycoprotein glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002071	IAO:0000115	A change in the strucutre of a glycopeptide glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002073	IAO:0000115	A change in the strucutre of an O-glycan chain due to altered types of linkages between sugar residues. 	
WARN	annotation_whitespace	MGPO:0002074	IAO:0000115	A change in the strucutre of n N-glycan chain due to altered types of linkages between sugar residues. 	
WARN	missing_definition	CHEBI:17089	IAO:0000115		
WARN	missing_definition	CHEBI:17089	IAO:0000600		
WARN	missing_definition	CHEBI:temp:0002141	IAO:0000115		
WARN	missing_definition	CHEBI:temp:0002141	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002131	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002131	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002132	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002132	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002133	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002133	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002134	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002134	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002135	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002135	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002136	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002136	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002137	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002137	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002139	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002139	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002143	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002143	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002148	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002148	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002151	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002151	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002152	IAO:0000115		
WARN	missing_definition	CHEBItemp:0002152	IAO:0000600		
WARN	missing_definition	CHEBItemp:0002157	IAO:0000115		
