defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
http://purl.obolibrary.org/obo/MGPO_0002212	increased free glycan levels in the urine	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan	http://purl.obolibrary.org/obo/UBERON_0001088	
http://purl.obolibrary.org/obo/MGPO_0002217	increased free monosaccharide levels in the urine	http://purl.obolibrary.org/obo/CHEBI_35381		http://purl.obolibrary.org/obo/UBERON_0001088	
http://purl.obolibrary.org/obo/MGPO_0002216	increased free oligosaccharide levels in the urine	http://purl.obolibrary.org/obo/CHEBI_50699		http://purl.obolibrary.org/obo/UBERON_0001088	
